ID,DIR_NAME,STATUS,ELAPSED_MIN,BEST_AFFINITY,START_TIME,END_TIME
LIG_0028,LIG_0028__N-((3-(3-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-aspartic,DONE,1.88,-10.2614,2026-03-18 12:47:48,2026-03-18 12:49:40
LIG_0029,LIG_0029__N-((3-(3-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-phenylal,DONE,2.05,-11.6232,2026-03-18 12:49:40,2026-03-18 12:51:43
LIG_0030,LIG_0030__N-((3-(3-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-isoleuci,DONE,1.84,-9.4322,2026-03-18 12:51:43,2026-03-18 12:53:34
LIG_0031,LIG_0031__N-((3-(3-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-leucin,DONE,1.82,-10.4196,2026-03-18 12:53:34,2026-03-18 12:55:23
LIG_0032,LIG_0032__N-((3-(3-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-methioni,DONE,1.94,-10.5138,2026-03-18 12:55:23,2026-03-18 12:57:19
LIG_0033,LIG_0033__1-((3-(3-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)piperidin-2,DONE,1.65,-9.4896,2026-03-18 12:57:19,2026-03-18 12:58:58
LIG_0034,LIG_0034__N-((3-(3-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-threonin,DONE,1.75,-10.1030,2026-03-18 12:58:58,2026-03-18 13:00:43
LIG_0035,LIG_0035__N-((3-(3-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-valin,DONE,1.72,-11.0667,2026-03-18 13:00:43,2026-03-18 13:02:26
LIG_0036,LIG_0036__N-((3-(3-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-tryptoph,DONE,2.37,-11.6539,2026-03-18 13:02:26,2026-03-18 13:04:48
LIG_0037,LIG_0037__N-((3-(3-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-tyrosin,DONE,2.27,-10.5937,2026-03-18 13:04:48,2026-03-18 13:07:04
LIG_0038,LIG_0038__N-((3-(3-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.69,-9.9144,2026-03-18 13:07:04,2026-03-18 13:08:46
LIG_0039,LIG_0039__N-((3-(3-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.05,-10.3379,2026-03-18 13:08:46,2026-03-18 13:10:49
LIG_0040,LIG_0040__N-((3-(3-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.25,-10.8049,2026-03-18 13:10:49,2026-03-18 13:13:04
LIG_0041,LIG_0041__N-((3-(3-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.03,-10.4213,2026-03-18 13:13:04,2026-03-18 13:15:05
LIG_0042,LIG_0042__N-((3-(3-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.02,-10.8524,2026-03-18 13:15:05,2026-03-18 13:17:06
LIG_0043,LIG_0043__N-((3-(3-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.11,-9.2502,2026-03-18 13:17:06,2026-03-18 13:19:13
LIG_0044,LIG_0044__N-((3-(3-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.91,-10.6955,2026-03-18 13:19:13,2026-03-18 13:21:07
LIG_0045,LIG_0045__N-((3-(3-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.85,-10.4411,2026-03-18 13:21:07,2026-03-18 13:22:58
LIG_0046,LIG_0046__N-((3-(3-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.62,-11.0226,2026-03-18 13:22:58,2026-03-18 13:25:35
LIG_0047,LIG_0047__N-((3-(3-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.41,-10.5931,2026-03-18 13:25:35,2026-03-18 13:28:00
LIG_0048,LIG_0048__N-((3-(4-(benzyloxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl)-L-alanin,DONE,1.44,-10.4324,2026-03-18 13:28:00,2026-03-18 13:29:26
LIG_0049,LIG_0049__N-((3-(4-(benzyloxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl)-L-arginin,DONE,2.37,-10.0287,2026-03-18 13:29:26,2026-03-18 13:31:48
LIG_0050,LIG_0050__N-((3-(4-(benzyloxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl)-L-isoleuc,DONE,1.72,-10.3570,2026-03-18 13:31:48,2026-03-18 13:33:31
